CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
CUST0001,Male,0,No,No,50,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,30.08,No,1504.0
CUST0002,Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,One year,Yes,Mailed check,46.02,No,2116.92
CUST0003,Male,0,No,Yes,3,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,37.7,No,113.1
CUST0004,Male,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card,22.85,Yes,137.1
CUST0005,Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,Yes,No,Yes,Two year,Yes,Mailed check,110.93,No,3771.62
CUST0006,Female,0,Yes,No,47,Yes,Yes,DSL,No,Yes,Yes,Yes,Two year,Yes,Electronic check,20.82,No,978.54
CUST0007,Male,1,No,No,71,Yes,Yes,Fiber optic,No,No,No,No internet service,Month-to-month,Yes,Credit card,93.61,No,6646.31
CUST0008,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,One year,No,Bank transfer,35.21,No,1549.24
CUST0009,Male,1,No,No,71,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,111.22,Yes,7896.62
CUST0010,Female,0,Yes,No,18,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Month-to-month,No,Credit card,109.28,No,1967.04
CUST0011,Male,0,No,No,62,Yes,No phone service,No,No internet service,No,Yes,No internet service,One year,No,Bank transfer,85.39,No,5294.18
CUST0012,Male,0,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,87.22,Yes,3227.14
CUST0013,Male,1,Yes,No,66,Yes,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,20.53,No,1354.98
CUST0014,Male,1,Yes,Yes,58,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Two year,Yes,Mailed check,118.49,Yes,6872.42
CUST0015,Female,0,No,Yes,68,Yes,No,No,No,No internet service,No internet service,No,Two year,Yes,Credit card,107.78,No,7329.04
CUST0016,Male,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No,No internet service,One year,No,Electronic check,109.51,No,1314.12
CUST0017,Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Credit card,85.92,No,3952.32
